"Austria";"Belgium";"Denmark";"Finland";"France";"Germany";"Italy";"Netherlands";"Norway";"Sweden";"Switzerland";"United.Kingdom";"Ireland";"Greece";"Portugal";"Spain";"Australia";"New.Zealand";"Canada";"United.States";"Albania";"Bulgaria";"Czecho.slovakia";"Hungary";"Poland";"Romania";"Argentina";"Brazil";"Chile";"Colombia";"Mexico";"Peru";"Uruguay";"Venezuela";"Bolivia";"Costa.Rica";"Dominican.Rep.";"Ecuador";"Guatemala";"Jamaica";"China";"India";"Indonesia";"Japan";"Philippines";"South.Korea";"Thailand";"Taiwan";"Bangladesh";"Burma";"Hong.Kong";"Malaysia";"Pakistan";"Singapore";"Sri.Lanka";"Cambodia";"Vietnam";"Bahrain";"Iran";"Iraq";"Israel";"Jordan";"Kuwait";"Oman";"Qatar";"Saudi.Arabia";"Syria";"Turkey";"UAE";"Yemen";"Algeria";"Angola";"Burkina.Faso";"Cameroon";"Cote.d.Ivoire";"Egypt";"Ethiopia";"Ghana";"Kenya";"Madagascar";"Malawi";"Mali";"Morocco";"Mozambique";"Niger";"Nigeria";"Senegal";"South.Africa";"Sudan";"Tanzania";"Tunisia";"Uganda";"Congo.Kinshasa";"Zambia";"Zimbabwe"
18918;19139;21388;17472;18690;17709;17676;19973;23649;18375;21072;19115;16858;10902;12460;13912;19612;15407;19962;26074;2198;4628;8439;6001;6388;3141;8615;5411;9906;5607;6526;3783;8434;9035;2513;5502;3252;4115;3667;3763;3013;1675;3684;20617;2331;13501;6559;14696;771;1046;21682;7955;1831;20231;3205;1093;1588;4633;4059;962;15607;4033;9774;7471;8904;8903;7134;6421;12788;2650;2687;753;915;1012;1419;2890;570;1248;1022;668;629;839;2648;1308;439;1031;1219;3803;1279;531;4066;717;266;630;1417
19613;19475;21771;18307;19233;18029;17909;20631;24135;19137;21603;19724;17945;11250;13013;14483;20378;15477;20612;26893;2405;4870;8543;6263;6704;2999;8900;5334;10088;5563;6754;3700;8776;8906;2585;5822;3419;4097;3774;3674;2993;1755;3151;20154;2267;12634;5994;15069;798;1090;20230;7179;1850;19287;3321;1126;1657;4745;4114;1075;15833;4062;9815;7479;9195;8925;7335;6510;12212;2721;2782;731;952;1037;1449;3042;532;1288;1031;673;617;855;2811;1428;479;1034;1258;3770;1538;535;4217;722;255;602;1402
20268;20128;22255;18981;19771;18380;18141;21457;24455;20013;21828;20269;19479;11616;13466;15093;20971;16202;21563;27870;2752;5137;8643;6482;7008;2971;8545;5270;9884;5269;6916;3680;8494;8238;2542;6158;3586;3809;3849;3670;3162;1835;3127;20070;2287;13890;6212;15843;822;1192;20584;7425;1882;19983;3421;1245;1713;4836;4141;1132;15949;4108;9357;7253;9211;8648;6925;6188;12017;2734;2829;734;980;1058;1439;3158;548;1323;1032;684;621;878;2787;1513;468;1014;1307;3810;1835;538;4422;756;237;598;1337
20962;20809;22966;19951;20392;18944;18761;22148;25088;20871;22521;21046;21027;12111;13922;15724;21378;16518;22488;28702;2962;5483;8930;6772;7309;3047;8410;5418;10199;5375;7275;3737;8341;8409;2552;6136;3725;3911;3922;3657;3421;1882;3229;20481;2336;14998;6440;16628;856;1337;22032;7874;1904;21263;3579;1329;1805;4972;4301;1221;16985;4189;9517;7415;9724;8861;6906;6502;12814;2812;2849;736;977;1076;1337;3258;564;1352;1013;694;609;824;2794;1503;441;1041;1318;3920;2048;547;4564;771;214;602;1231
21094;20920;23048;20360;20648;19157;19062;22411;25458;21096;22692;21567;21747;12592;14127;16119;21662;16934;22687;28726;3229;5770;9219;7035;7399;3225;7968;5412;10421;5409;7178;3695;8030;8566;2541;6086;3729;4038;3943;3672;3759;1957;3299;20500;2349;15481;6611;16238;886;1469;21962;7719;1887;20483;3489;1409;1905;5068;4401;1294;16576;4312;9276;7654;9853;8712;6985;6035;12404;2827;2885;741;1003;1099;1305;3301;589;1384;1034;715;568;895;2966;1651;461;1098;1343;3982;2158;563;4734;800;203;613;1248
21407;21163;23075;20683;20720;19140;19100;22291;25724;21586;22622;22008;22671;12998;14171;16320;22237;17486;23155;28977;3398;6099;9489;7365;7509;3396;7038;5481;10533;5476;7146;3831;7121;7696;2551;6162;3880;4112;4016;3673;4197;1997;3399;20517;2382;16498;6967;17001;909;1624;22195;7952;1904;20786;3588;1485;2014;5013;4709;1346;16175;4460;9301;7648;9706;8536;7219;6308;11721;2848;2977;825;1001;1115;1257;3333;581;1419;1008;609;562;906;3026;1764;469;1296;1317;4084;2244;586;4765;834;204;617;1128
21555;21295;23080;21053;20789;19088;19007;22267;25864;22050;22516;22763;23206;13742;13980;16553;22666;17881;23407;29459;3627;6497;9876;7664;7804;3583;7518;5472;10837;5614;7159;3937;7256;6996;2567;6456;3809;4166;4041;3768;4803;2130;3513;20833;2448;16882;7412;17547;940;1825;22702;8211;1959;21197;3757;1588;2134;4920;5051;1023;16110;4543;10625;7518;9867;9000;6907;6540;13008;2863;3138;825;1039;1132;1210;3367;553;1459;1007;649;578;947;3178;1838;484;1391;1369;4160;2374;607;4974;861;210;632;942
22080;21955;23526;21879;21193;19284;19211;22696;26776;22943;22960;23307;23725;14313;14139;16823;23322;18298;23953;30200;3864;7000;10353;8047;8226;3898;7967;5713;11485;5831;7362;4084;8094;8156;2621;6629;3801;4434;4094;3789;5169;2273;3640;21301;2557;17589;7824;18564;982;2047;24469;8563;2066;22585;3917;1727;2271;4787;5310;1516;16569;4821;11461;7623;10352;9287;7212;7045;13681;2887;3253;885;1053;1148;1200;3430;600;1504;1024;664;594;939;3291;1940;464;1497;1411;4306;2478;636;5216;888;218;651;892
22583;22305;24017;22479;21450;19417;19284;23114;27358;23627;23481;23810;24349;14611;14191;17145;23765;18706;24484;30842;4117;7513;11047;8379;8529;4069;8541;5824;12080;6022;7514;4313;8613;8868;2684;6916;4094;4588;4143;3794;5575;2424;3799;21575;2625;18227;8093;19367;1023;2297;26041;8848;2211;23683;4126;1928;2432;4781;5493;1465;17065;5098;12283;7776;9445;9620;7484;7526;14208;2957;3370;1035;1109;1148;1196;3508;656;1560;1053;675;593;967;3349;2058;485;1537;1451;4490;2520;663;5371;933;228;668;849
23388;22867;24749;23434;21842;20041;19630;23867;27921;24602;24262;24285;24989;15392;14343;17552;24098;18927;24967;31358;4367;8072;11869;8715;9065;4398;9101;5988;12648;6340;7803;4596;8968;9602;2759;7415;4467;4718;4270;3863;6048;2612;3957;21938;2708;19124;8435;20340;1073;2568;27696;9180;2297;25170;4397;2103;2600;4744;5762;1514;17695;5145;12932;8053;10349;9746;7553;7930;14815;2960;3386;1214;1142;1158;1179;3669;711;1619;1087;689;589;988;3568;2188;495;1590;1447;4698;2765;688;5619;989;234;691;827
24235;23497;25060;24651;22202;20547;19842;24756;28556;25377;25025;25002;25624;15827;14631;17849;24912;19269;25300;31655;4647;8666;12733;8736;9684;4686;9715;6285;13176;6690;7972;4950;9604;10290;2831;7890;4778;4739;4442;3886;6303;2810;4156;22410;2829;20048;8835;21470;1124;2843;29300;9590;2410;26783;4651;2281;2785;4805;6054;1497;18338;5213;13425;8434;10782;9770;7527;8185;15152;2970;3428;1445;1152;1170;1172;3847;772;1686;1129;712;628;999;3623;2296;492;1657;1479;4914;3042;716;5911;1040;241;714;803
24565;23701;24789;24694;22057;20801;19460;25112;28464;25181;25293;24602;24324;15778;14583;17734;25218;18875;25262;31251;5010;9279;13241;8826;10186;5040;9972;6542;13479;6840;7978;5376;10405;10672;2950;7990;4960;5005;4491;3833;6725;2952;4354;22175;2888;20454;8923;21554;1174;3107;29810;9880;2457;26638;4882;2392;2926;4860;6013;1598;18749;5467;13658;9362;11347;10012;7556;8127;15346;2991;3447;1599;1182;1174;1174;4038;834;1789;1113;742;662;1018;3782;2399;521;1711;1494;5048;3048;747;6117;1087;249;734;661
23623;23020;23275;22562;21244;19790;18279;24073;27893;23878;24538;23489;22315;15244;14118;16928;25256;18843;24361;29899;5179;8841;12610;8237;10356;4719;9581;6457;13210;6854;7392;5365;10650;10176;2995;7778;5061;4948;4422;3691;7308;3154;4500;20963;2864;20464;8768;21092;1224;3397;28856;9571;2459;25826;5011;2352;3046;4853;6173;1603;18589;5641;12307;9542;11484;9859;7841;7633;14071;3020;3467;1592;1180;1171;1192;4141;891;1820;1109;692;703;1031;3926;2495;498;1783;1485;4943;3120;772;6244;1127;249;760;700
24096;23557;23513;23290;21477;20661;18520;24303;27987;25306;25033;23777;22013;14691;14279;16797;25584;18886;24941;30491;5375;8946;13020;8353;10762;4653;10256;6879;13883;7063;7716;5774;11526;9874;3064;7997;5379;5050;4454;3617;8032;3372;4722;21935;3024;21701;9372;23292;1276;3709;30725;10094;2494;29038;5360;2450;3217;4929;6456;1610;19171;5647;12348;9819;12229;10201;7952;8225;13746;3165;3513;1600;1234;1179;1195;4267;935;1922;1141;676;728;1059;4027;2613;519;1876;1507;5080;3132;804;6374;1158;260;795;750
